
The table is organized as such:
| Policy Name |
| Starting Track |
| Next track | Tracks Moved |
| ... |
| Average Seek Length |
| Average Seek Time |
--------------------------------------------------------------------------------------
|  FIFO  |  LIFO  |  SSTF  |  SCAN  |    C-SCAN    |      N-STEP-SCAN      |  FSCAN  |
--------------------------------------------------------------------------------------
|   200  |   200  |   200  |   200  |       200    |              200      |    200  |
--------------------------------------------------------------------------------------
| 115|  4| 141|  1|   8|  1| 194|  0|   194 |     0|       111 |          4| 134|   6|
| 121|  6|  98| 43|   8|  0| 194|  0|   194 |     0|       109 |          2| 135|   1|
| 109| 12| 105|  7|   8|  0| 193|  1|   193 |     1|        98 |         11| 139|   4|
|  98| 11| 119| 14|   8|  0| 193|  0|   193 |     0|       121 |         23| 106|  33|
| 128| 30| 110|  9|   8|  0| 193|  0|   193 |     0|       128 |          7| 100|   6|
| 134|  6| 102|  8|   8|  0| 193|  0|   193 |     0|       134 |          6| 113|  13|
| 139|  5| 115| 13|   9|  1| 193|  0|   193 |     0|       135 |          1| 113|   0|
| 135|  4| 126| 11|   9|  0| 193|  0|   193 |     0|       139 |          4| 119|   6|
| 106| 29| 129|  3|   9|  0| 192|  1|   192 |     1|       106 |         33| 132|  13|
| 109|  3| 121|  8|   9|  0| 192|  0|   192 |     0|       109 |          3| 121|  11|
| 103|  6| 100| 21|   9|  0| 192|  0|   192 |     0|       110 |          1| 110|  11|
| 110|  7|  63| 37|   9|  0| 192|  0|   192 |     0|       121 |         11| 109|   1|
| 133| 23|  57|  6|   9|  0| 191|  1|   191 |     1|       133 |         12| 103|   6|
| 121| 12|  49|  8|   9|  0| 191|  0|   191 |     0|       103 |         30| 133|  30|
|  91| 30|  70| 21|   9|  0| 191|  0|   191 |     0|       100 |          3| 116|  17|
|  92|  1|  70|  0|   9|  0| 191|  0|   191 |     0|        92 |          8| 100|  16|
| 116| 24|  17| 53|   9|  0| 190|  1|   190 |     1|        91 |          1|  92|   8|
|  91| 25|  15|  2|  10|  1| 190|  0|   190 |     0|        91 |          0|  91|   1|
| 100|  9|   2| 13|  10|  0| 190|  0|   190 |     0|       116 |         25|  91|   0|
| 100|  0| 193|  9|  10|  0| 190|  0|   190 |     0|       100 |         16|  91|   0|
|  91|  9| 194|  1|  10|  0| 190|  0|   190 |     0|        91 |          9| 100|   9|
|  73| 18| 187|  7|  10|  0| 189|  1|   189 |     1|        85 |          6|  85|  15|
|  77|  4| 193|  6|  10|  0| 189|  0|   189 |     0|        77 |          8|  77|   8|
|  85|  8|   1|  8|  11|  1| 189|  0|   189 |     0|        73 |          4|  73|   4|
|  77|  8| 169| 32|  11|  0| 189|  0|   189 |     0|        74 |          1|   9|  64|
|  74|  3| 145| 24|  11|  0| 188|  1|   188 |     1|        77 |          3| 183|  26|
|  65|  9| 159| 14|  11|  0| 188|  0|   188 |     0|        65 |         12| 188|   5|
|  64|  1| 158|  1|  11|  0| 188|  0|   188 |     0|        64 |          1| 196|   8|
|   9| 55| 126| 32|  12|  1| 188|  0|   188 |     0|         9 |         55| 200|   4|
|   9|  0| 127|  1|  13|  1| 188|  0|   188 |     0|         9 |          0| 192|   8|
| 200|  9| 127|  0|  15|  2| 188|  0|   188 |     0|       183 |         26| 191|   1|
| 196|  4| 134|  7|  15|  0| 188|  0|   188 |     0|       188 |          5| 180|  11|
| 188|  8| 141|  7|  15|  0| 188|  0|   188 |     0|       196 |          8|  38|  58|
| 183|  5| 157| 16|  15|  0| 188|  0|   188 |     0|       200 |          4|   2|  36|
| 191|  8| 173| 16|  15|  0| 188|  0|   188 |     0|       192 |          8|  38|  36|
| 192|  1| 181|  8|  15|  0| 187|  1|   187 |     1|       191 |          1|  46|   8|
| 180| 12| 177|  4|  16|  1| 187|  0|   187 |     0|       180 |         11|  50|   4|
|   2| 22| 185|  8|  17|  1| 187|  0|   187 |     0|        38 |         58|  53|   3|
|  38| 36| 197| 12|  17|  0| 187|  0|   187 |     0|         2 |         36|  55|   2|
|  38|  0|   4|  7|  17|  0| 187|  0|   187 |     0|        38 |         36|  55|   0|
|  46|  8|   4|  0|  18|  1| 187|  0|   187 |     0|        46 |          8|  55|   0|
|  50|  4|  38| 34|  19|  1| 187|  0|   187 |     0|        50 |          4|  53|   2|
|  53|  3|  45|  7|  19|  0| 186|  1|   186 |     1|        53 |          3|  58|   5|
|  55|  2|  26| 19|  20|  1| 186|  0|   186 |     0|        55 |          2|  59|   1|
|  55|  0|  30|  4|  20|  0| 186|  0|   186 |     0|        55 |          0|  62|   3|
|  55|  0|  35|  5|  20|  0| 186|  0|   186 |     0|        55 |          0|  62|   0|
|  59|  4|  21| 14|  20|  0| 185|  1|   185 |     1|        53 |          2|  80|  18|
|  53|  6|  19|  2|  21|  1| 185|  0|   185 |     0|        58 |          5|  81|   1|
|  58|  5|  37| 18|  21|  0| 185|  0|   185 |     0|        59 |          1|  98|  17|
|  62|  4|  47| 10|  21|  0| 185|  0|   185 |     0|        62 |          3|  98|   0|
|  62|  0|  59| 12|  21|  0| 185|  0|   185 |     0|        62 |          0|  95|   3|
|  80| 18|  59|  0|  22|  1| 185|  0|   185 |     0|        80 |         18|  93|   2|
|  81|  1|  49| 10|  22|  0| 185|  0|   185 |     0|        81 |          1| 103|  10|
|  98| 17|  35| 14|  22|  0| 184|  1|   184 |     1|        98 |         17| 106|   3|
|  95|  3|  41|  6|  22|  0| 184|  0|   184 |     0|        98 |          0| 108|   2|
| 103|  8|  41|  0|  23|  1| 184|  0|   184 |     0|        95 |          3| 109|   1|
| 106|  3|  45|  4|  25|  2| 184|  0|   184 |     0|        93 |          2| 113|   4|
|  98|  8|  44|  1|  25|  0| 184|  0|   184 |     0|       103 |         10| 115|   2|
|  93|  5|  45|  1|  25|  0| 184|  0|   184 |     0|       106 |          3| 151|  36|
| 108| 15|  38|  7|  26|  1| 184|  0|   184 |     0|       108 |          2|  78|  73|
| 109|  1|  32|  6|  26|  0| 184|  0|   184 |     0|       109 |          1|  77|   1|
| 151| 42|  42| 10|  27|  1| 183|  1|   183 |     1|       113 |          4|  76|   1|
| 115| 36|  54| 12|  28|  1| 183|  0|   183 |     0|       115 |          2|  67|   9|
| 113|  2|  59|  5|  28|  0| 183|  0|   183 |     0|       151 |         36|  63|   4|
|  67| 46|  59|  0|  28|  0| 183|  0|   183 |     0|        78 |         73|  75|  12|
|  63|  4|  84| 25|  29|  1| 183|  0|   183 |     0|        77 |          1|  81|   6|
|  76| 13|  84|  0|  29|  0| 182|  1|   182 |     1|        76 |          1|  84|   3|
|  77|  1|  77|  7|  29|  0| 182|  0|   182 |     0|        67 |          9|  87|   3|
|  78|  1|  71|  6|  29|  0| 182|  0|   182 |     0|        63 |          4| 100|  13|
|  75|  3|  52| 19|  29|  0| 182|  0|   182 |     0|        75 |         12| 104|   4|
|  81|  6|  75| 23|  30|  1| 182|  0|   182 |     0|        81 |          6|  99|   5|
|  87|  6|  73|  2|  30|  0| 182|  0|   182 |     0|        84 |          3|  97|   2|
|  84|  3|  91| 18|  30|  0| 182|  0|   182 |     0|        87 |          3|  96|   1|
| 100| 16|  93|  2|  30|  0| 181|  1|   181 |     1|       100 |         13|  94|   2|
| 104|  4| 100|  7|  30|  0| 181|  0|   181 |     0|       104 |          4|  91|   3|
|  99|  5| 123| 23|  30|  0| 181|  0|   181 |     0|        99 |          5|  98|   7|
|  94|  5| 132|  9|  30|  0| 181|  0|   181 |     0|        97 |          2|  98|   0|
|  96|  2| 119| 13|  30|  0| 181|  0|   181 |     0|        96 |          1| 111|  13|
|  97|  1| 118|  1|  31|  1| 181|  0|   181 |     0|        94 |          2| 115|   4|
|  91|  6| 119|  1|  31|  0| 181|  0|   181 |     0|        91 |          3| 114|   1|
|  98|  7| 142| 23|  32|  1| 180|  1|   180 |     1|        98 |          7| 111|   3|
|  98|  0| 139|  3|  32|  0| 180|  0|   180 |     0|        98 |          0| 104|   7|
| 111| 13| 136|  3|  32|  0| 180|  0|   180 |     0|       111 |         13| 117|  13|
