
The table is organized as such:
| Policy Name |
| Starting Track |
| Next track | Tracks Moved |
| ... |
| Average Seek Length |
| Average Seek Time |
--------------------------------------------------------------------------------------
|  FIFO  |  LIFO  |  SSTF  |  SCAN  |    C-SCAN    |      N-STEP-SCAN      |  FSCAN  |
--------------------------------------------------------------------------------------
|     1  |     1  |     1  |     1  |         1    |                1      |      1  |
--------------------------------------------------------------------------------------
| 178| 23|  46| 45|   1|  0|   1|  0|     1 |     0|        13 |         12|  13|  12|
| 150| 28| 135| 89|   1|  0|   1|  0|     1 |     0|       112 |         99| 112|  99|
| 164| 14|  54| 81|   1|  0|   1|  0|     1 |     0|       150 |         38| 150|  38|
| 112| 52|  37| 17|   1|  0|   1|  0|     1 |     0|       164 |         14| 164|  14|
|  13| 99| 189| 48| 200|  1|   2|  1|     2 |     1|       178 |         14| 178|  14|
|  83| 70| 114| 75| 200|  0|   2|  0|     2 |     0|       176 |          2| 173|   5|
| 122| 39|  46| 68| 200|  0|   2|  0|     2 |     0|       122 |         54| 147|  26|
|  44| 78| 102| 56| 200|  0|   2|  0|     2 |     0|        83 |         39| 112|  35|
|  82| 38|  45| 57| 200|  0|   2|  0|     2 |     0|        82 |          1|   1|  89|
| 176| 94|  27| 18| 199|  1|   3|  1|     3 |     1|        44 |         38| 180|  21|
| 112| 64|  63| 36| 199|  0|   3|  0|     3 |     0|       112 |         68| 177|   3|
|   1| 89|  60|  3| 199|  0|   3|  0|     3 |     0|       147 |         35|  94|  83|
| 173| 28|  33| 27| 198|  1|   4|  1|     4 |     1|       173 |         26|  94|   0|
| 180|  7|  32|  1| 197|  1|   4|  0|     4 |     0|       180 |          7|  35|  59|
| 147| 33| 144| 88| 197|  0|   4|  0|     4 |     0|         1 |         21| 182|  53|
|  35| 88|  45| 99| 197|  0|   4|  0|     4 |     0|        35 |         34| 106|  76|
| 182| 53|  75| 30| 197|  0|   4|  0|     4 |     0|        94 |         59|  22|  84|
| 177|  5| 170| 95| 197|  0|   5|  1|     5 |     1|        94 |          0|   6|  16|
|  94| 83| 123| 47| 197|  0|   5|  0|     5 |     0|       177 |         83|   6|   0|
|  94|  0|  49| 74| 196|  1|   6|  1|     6 |     1|       182 |          5| 185|  21|
|  22| 72| 105| 56| 196|  0|   6|  0|     6 |     0|       106 |         76| 184|   1|
| 185| 37| 113|  8| 196|  0|   6|  0|     6 |     0|        22 |         84| 166|  18|
| 106| 79|  98| 15| 196|  0|   6|  0|     6 |     0|         6 |         16|  87|  79|
|   6|100|  75| 23| 195|  1|   6|  0|     6 |     0|         6 |          0|  33|  54|
|   6|  0|  77|  2| 195|  0|   7|  1|     7 |     1|       185 |         21|  25|   8|
|  87| 81|  47| 30| 194|  1|   7|  0|     7 |     0|       184 |          1|  39|  14|
|  25| 62| 126| 79| 194|  0|   8|  1|     8 |     1|       166 |         18|  40|   1|
| 166| 59| 103| 23| 193|  1|   8|  0|     8 |     0|        87 |         79| 115|  75|
|  33| 67|  30| 73| 193|  0|   8|  0|     8 |     0|        33 |         54| 155|  40|
| 184| 49| 179| 51| 193|  0|   8|  0|     8 |     0|        25 |          8| 166|  11|
|  40| 56|  57| 78| 193|  0|   8|  0|     8 |     0|        39 |         14| 161|   5|
| 155| 85| 189| 68| 193|  0|   9|  1|     9 |     1|        40 |          1| 151|  10|
|  39| 84|  13| 24| 192|  1|   9|  0|     9 |     0|       115 |         75|  63|  88|
| 115| 76| 130| 83| 192|  0|   9|  0|     9 |     0|       155 |         40|  13|  50|
| 166| 51|  53| 77| 192|  0|   9|  0|     9 |     0|       166 |         11| 198|  15|
|  13| 47| 179| 74| 192|  0|  10|  1|    10 |     1|       161 |          5| 188|  10|
| 198| 15| 176|  3| 192|  0|  10|  0|    10 |     0|       151 |         10| 150|  38|
| 161| 37| 174|  2| 191|  1|  10|  0|    10 |     0|        63 |         88|  87|  63|
| 151| 10|  46| 72| 191|  0|  10|  0|    10 |     0|        13 |         50|  52|  35|
|  63| 88|  89| 43| 190|  1|  10|  0|    10 |     0|       198 |         15|  46|   6|
| 188| 75|  40| 49| 190|  0|  10|  0|    10 |     0|       188 |         10|  67|  21|
|  46| 58|   2| 38| 190|  0|  10|  0|    10 |     0|       150 |         38|  87|  20|
|  52|  6| 190| 12| 190|  0|  10|  0|    10 |     0|        87 |         63|  95|   8|
| 150| 98|  75| 85| 190|  0|  10|  0|    10 |     0|        52 |         35| 123|  28|
|  87| 63| 196| 79| 190|  0|  11|  1|    11 |     1|        46 |          6| 138|  15|
|  95|  8|  85| 89| 189|  1|  11|  0|    11 |     0|        67 |         21| 150|  12|
| 123| 28| 188| 97| 189|  0|  11|  0|    11 |     0|        87 |         20| 158|   8|
|  87| 36| 120| 68| 189|  0|  12|  1|    12 |     1|        95 |          8| 163|   5|
| 138| 51| 142| 22| 189|  0|  12|  0|    12 |     0|       123 |         28|  65|  98|
|  67| 71|  79| 63| 189|  0|  12|  0|    12 |     0|       138 |         15|  40|  25|
| 158| 91|  95| 16| 189|  0|  13|  1|    13 |     1|       150 |         12|  41|   1|
|  65| 93| 171| 76| 189|  0|  13|  0|    13 |     0|       158 |          8| 101|  60|
| 163| 98|  75| 96| 188|  1|  13|  0|    13 |     0|       163 |          5| 146|  45|
|  40| 77|  53| 22| 188|  0|  13|  0|    13 |     0|        65 |         98| 152|   6|
| 150| 90|  80| 27| 188|  0|  13|  0|    13 |     0|        40 |         25| 168|  16|
| 146|  4| 192| 88| 188|  0|  13|  0|    13 |     0|        41 |          1| 178|  10|
| 168| 22| 182| 10| 188|  0|  14|  1|    14 |     1|       101 |         60| 180|   2|
| 152| 16|  86| 96| 188|  0|  14|  0|    14 |     0|       146 |         45| 145|  35|
| 101| 51|  42| 44| 187|  1|  14|  0|    14 |     0|       152 |          6| 128|  17|
|  41| 60|  72| 30| 187|  0|  14|  0|    14 |     0|       168 |         16|  89|  39|
